Id,GRID_ID,ORIG_FID,NEAR_FID,NEAR_DIST,NEAR_FC
119795,AFM-926,21053,73,1201.720110797206189,USAWaterBodies_Projected_4counties
119796,AFN-926,21054,73,2116.935761580222334,USAWaterBodies_Projected_4counties
119797,AFO-926,21055,73,3065.735869030839694,USAWaterBodies_Projected_4counties
119798,AFP-926,21056,73,4039.313780664646401,USAWaterBodies_Projected_4counties
119799,AFQ-926,21057,73,5023.283310611931483,USAWaterBodies_Projected_4counties
119800,AFR-926,21058,73,6012.544770617297218,USAWaterBodies_Projected_4counties
119801,AFS-926,21059,73,7004.856459534516944,USAWaterBodies_Projected_4counties
119802,AFT-926,21060,73,7999.083286145199963,USAWaterBodies_Projected_4counties
119803,AFU-926,21061,73,8994.590197373781848,USAWaterBodies_Projected_4counties
119804,AFV-926,21062,73,9990.994556033827394,USAWaterBodies_Projected_4counties
119805,AFW-926,21063,73,10988.052221331250621,USAWaterBodies_Projected_4counties
119806,AFX-926,21064,73,11985.600152629307559,USAWaterBodies_Projected_4counties
119807,AFY-926,21065,73,12983.525346326887302,USAWaterBodies_Projected_4counties
119808,AFZ-926,21066,73,13981.747023126892600,USAWaterBodies_Projected_4counties
119809,AGA-926,21067,73,14980.205913762427372,USAWaterBodies_Projected_4counties
119810,AGB-926,21068,73,15978.857550486136461,USAWaterBodies_Projected_4counties
119811,AGC-926,21069,73,16977.667920498763124,USAWaterBodies_Projected_4counties
119812,AGD-926,21070,73,17976.610565363480418,USAWaterBodies_Projected_4counties
119813,AGE-926,21071,55,18107.416783224551182,USAWaterBodies_Projected_4counties
119814,AGF-926,21072,55,17122.513803802463372,USAWaterBodies_Projected_4counties
119815,AGG-926,21073,55,16139.467629429713270,USAWaterBodies_Projected_4counties
119816,AGH-926,21074,55,15158.639508920756271,USAWaterBodies_Projected_4counties
119817,AGI-926,21075,55,14180.489701044072717,USAWaterBodies_Projected_4counties
119818,AGJ-926,21076,55,13205.613373161459094,USAWaterBodies_Projected_4counties
119819,AGK-926,21077,55,12234.793049390926171,USAWaterBodies_Projected_4counties
119820,AGL-926,21078,55,11269.077041241143888,USAWaterBodies_Projected_4counties
119821,AGM-926,21079,55,10309.890031989145427,USAWaterBodies_Projected_4counties
119822,AGN-926,21080,55,9354.185597044948736,USAWaterBodies_Projected_4counties
119823,AGO-926,21081,55,8398.481162100790243,USAWaterBodies_Projected_4counties
119824,AGP-926,21082,55,7440.682972085520305,USAWaterBodies_Projected_4counties
119825,AGQ-926,21083,55,6482.545287318575902,USAWaterBodies_Projected_4counties
119826,AGR-926,21084,55,5533.417877057233454,USAWaterBodies_Projected_4counties
119827,AGS-926,21085,55,4605.869451269421006,USAWaterBodies_Projected_4counties
119828,AGT-926,21086,55,3696.506261714485845,USAWaterBodies_Projected_4counties
119829,AGU-926,21087,55,2793.444271533533993,USAWaterBodies_Projected_4counties
119830,AGV-926,21088,55,1910.747216116673826,USAWaterBodies_Projected_4counties
119831,AGW-926,21089,55,1019.388850314438969,USAWaterBodies_Projected_4counties
119832,AGX-926,21090,55,107.972361546469116,USAWaterBodies_Projected_4counties
119833,AGY-926,21091,55,0.000000000000000,USAWaterBodies_Projected_4counties
119834,AGZ-926,21092,55,263.474771052127494,USAWaterBodies_Projected_4counties
119835,AHA-926,21093,55,1261.283193522358260,USAWaterBodies_Projected_4counties
119836,AHB-926,21094,55,2259.091615992535026,USAWaterBodies_Projected_4counties
119837,AHC-926,21095,55,3256.900038462645625,USAWaterBodies_Projected_4counties
119838,AHD-926,21096,55,4254.708460932825801,USAWaterBodies_Projected_4counties
